127.0.0.1 - - [15/Mar/2023:10:23:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:23:39 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:23:39 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:23:49 +0530] "GET /newJsp/e.getName()?name HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:24:22 +0530] "GET /newJsp/e.getName()?name HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:31 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:31 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:31 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:31 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1307
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:32 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:36 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:26:52 +0530] "GET /newJsp/e.getId()?id HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:27:16 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:27:16 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:27:16 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:27:18 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:29:53 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:29:53 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:29:55 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:25 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:25 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:25 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:25 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:27 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:45 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:45 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:30:46 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:37:17 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:37:19 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:41:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:41:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:41:12 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:41:13 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 500 2199
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:42:20 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:42:21 +0530] "GET /newJsp/index.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [15/Mar/2023:10:42:22 +0530] "GET /newJsp/getUser.jsp HTTP/1.1" 200 406
